source_code,occ1990dd
0,999
10,4
20,22
40,13
50,13
60,13
100,22
110,22
120,7
135,8
136,8
137,8
140,22
150,33
160,373
205,473
220,22
230,14
300,22
310,22
330,22
340,22
350,15
360,22
410,18
420,22
425,37
430,22
500,34
510,28
520,29
530,33
540,375
565,36
600,22
630,27
640,27
650,27
700,65
710,26
725,22
726,274
735,166
740,37
800,23
810,254
820,25
830,25
840,25
850,25
860,24
900,36
910,25
930,23
940,25
950,25
1005,64
1006,64
1007,64
1010,229
1020,229
1030,64
1050,64
1060,64
1105,64
1106,64
1107,64
1200,66
1220,65
1240,68
1300,43
1310,218
1320,44
1340,59
1350,48
1360,53
1400,55
1410,55
1420,59
1430,56
1440,59
1450,45
1460,57
1520,47
1530,59
1540,217
1550,214
1560,218
1600,77
1610,78
1640,79
1650,83
1700,69
1710,74
1720,73
1740,75
1760,76
1800,166
1820,167
1840,173
1860,169
1900,223
1910,223
1920,224
1930,225
1965,235
2000,163
2010,174
2015,177
2016,177
2025,177
2040,176
2050,176
2060,176
2100,178
2105,178
2145,234
2160,234
2200,154
2300,155
2310,156
2320,157
2330,158
2340,159
2400,165
2430,164
2440,329
2540,387
2550,159
2600,188
2630,185
2700,187
2710,187
2720,199
2740,193
2750,186
2760,194
2800,198
2810,195
2825,13
2830,195
2840,184
2850,183
2860,194
2900,228
2910,189
2920,195
3000,89
3010,85
3030,97
3040,87
3050,96
3060,84
3110,106
3120,88
3140,104
3150,99
3160,103
3200,105
3210,105
3220,98
3230,104
3245,105
3250,86
3255,95
3256,95
3258,95
3260,89
3300,203
3310,204
3320,206
3400,208
3420,678
3500,207
3510,205
3520,677
3535,208
3540,208
3600,447
3610,447
3620,447
3630,447
3640,445
3645,447
3646,447
3647,447
3648,447
3649,447
3655,447
3700,423
3710,418
3720,417
3730,415
3740,417
3750,417
3800,423
3820,418
3840,427
3850,418
3900,427
3910,426
3930,426
3940,425
3945,36
3955,427
4000,436
4010,433
4020,436
4030,439
4040,434
4050,444
4060,444
4110,435
4120,444
4130,444
4140,444
4150,444
4200,448
4210,450
4220,453
4230,405
4240,455
4250,451
4300,459
4320,470
4340,472
4350,472
4400,459
4410,467
4420,462
4430,459
4460,469
4465,19
4500,457
4510,458
4520,458
4530,464
4540,461
4600,468
4610,447
4620,466
4640,468
4650,469
4700,243
4710,243
4720,276
4740,275
4750,275
4760,275
4800,256
4810,253
4820,255
4830,318
4840,275
4850,274
4900,283
4920,254
4930,258
4940,274
4950,277
4965,274
5000,303
5010,348
5020,348
5030,349
5100,378
5110,344
5120,337
5130,276
5140,338
5150,365
5160,383
5165,383
5200,336
5220,389
5230,316
5240,376
5250,377
5260,335
5300,317
5310,316
5320,329
5330,376
5340,316
5350,326
5360,328
5400,319
5410,318
5420,336
5500,364
5510,357
5520,359
5530,366
5540,354
5550,355
5560,346
5600,373
5610,364
5620,365
5630,368
5700,313
5800,308
5810,385
5820,315
5840,375
5850,356
5860,379
5900,347
5910,384
5920,386
5940,389
6005,496
6010,489
6040,488
6050,479
6100,498
6120,496
6130,496
6200,558
6210,643
6220,563
6230,567
6240,563
6250,588
6260,869
6300,594
6320,844
6330,573
6355,575
6360,589
6400,593
6420,579
6430,583
6440,585
6460,584
6500,597
6515,595
6520,653
6530,597
6600,866
6660,35
6700,543
6710,599
6720,593
6730,869
6740,889
6765,599
6800,614
6820,598
6830,615
6840,616
6940,617
7000,503
7010,525
7020,527
7030,533
7040,577
7100,523
7110,533
7120,523
7130,575
7140,508
7150,514
7160,514
7200,505
7210,507
7220,516
7240,509
7260,516
7300,539
7315,534
7320,526
7330,518
7340,549
7350,519
7360,544
7410,577
7420,527
7430,535
7510,549
7540,536
7550,549
7560,549
7610,865
7630,549
7700,628
7710,785
7720,785
7730,785
7740,597
7750,785
7800,687
7810,686
7830,763
7840,688
7850,769
7855,779
7900,233
7920,755
7930,713
7940,707
7950,706
7960,708
8000,709
8010,703
8030,637
8040,766
8060,645
8100,719
8130,634
8140,783
8150,724
8200,723
8210,644
8220,684
8250,736
8255,736
8256,679
8300,408
8310,747
8320,744
8330,669
8340,745
8350,666
8400,743
8410,739
8420,738
8450,668
8460,749
8500,657
8510,658
8530,727
8540,729
8550,733
8600,695
8610,696
8620,694
8630,699
8640,757
8650,756
8710,769
8720,755
8730,766
8740,799
8750,535
8760,678
8800,754
8810,789
8830,774
8850,753
8860,764
8910,649
8920,675
8930,765
8940,779
8950,873
8965,779
9000,803
9030,226
9040,227
9050,471
9110,809
9120,808
9130,804
9140,809
9150,809
9200,824
9230,825
9240,823
9260,824
9300,829
9310,829
9350,813
9360,885
9410,471
9415,471
9420,834
9510,848
9520,853
9560,848
9600,804
9610,887
9620,889
9630,878
9640,888
9650,859
9720,875
9750,859
9920,991
